t	moyenne BV
18844	23,6666666667
18845	0,0833333333
18846	38,1666666667
18847	69,5
18848	252,8333333333
18849	46,1666666667
18850	12,1666666667
18851	3,0833333333
18852	12,6666666667
18853	33,5
18854	0
18855	0
18856	0
18857	0,4166666667
18858	0
18859	59,9166666667
18860	35,1666666667
18861	2,8333333333
18862	8,5
18863	0
18864	1,5
18865	0,4166666667
18866	30,5
18867	33,0833333333
18868	25,6666666667
18869	104
18870	47
18871	59,1666666667
18872	57,1666666667
18873	179,8333333333
18874	12,75
18875	3,8333333333
18876	0
18877	1,5833333333
18878	0,25
18879	0
18880	0
18881	8,8333333333
18882	0
18883	3,0833333333
18884	158,8333333333
18885	3,6666666667
18886	5,9166666667
18887	14,6666666667
18888	6,8333333333
18889	0
18890	0
18891	0
18892	0
18893	18,75
18894	72
18895	0,3333333333
18896	37
18897	3,3333333333
18898	1,6666666667
18899	21
18900	0,5
18901	0
18902	0
18903	0
18904	0
18905	0,5833333333
18906	0
18907	0
18908	0
18909	0
18910	0
18911	0
18912	0
18913	3,9166666667
18914	12,1666666667
18915	3,3333333333
18916	0
18917	0
18918	0
18919	0
18920	0
18921	2,6666666667
18922	34,4166666667
18923	7,0833333333
18924	2,6666666667
18925	3,3333333333
18926	0
18927	0
18928	8,3333333333
18929	29,9166666667
18930	13
18931	32,9166666667
18932	129,6666666667
18933	28,9166666667
18934	76,6666666667
18935	26,9166666667
18936	11,3333333333
18937	1
18938	89,3333333333
18939	31,25
18940	42,5
18941	55,75
18942	91,9166666667
18943	20,1666666667
18944	20,5
18945	39,0833333333
18946	16
18947	2,4166666667
18948	12,75
18949	3,0833333333
18950	53,9166666667
18951	11,0833333333
18952	81,1666666667
18953	94,4166666667
18954	21
18955	52,0833333333
18956	31,1666666667
18957	56,1666666667
18958	0
18959	0
18960	7,3333333333
18961	5,5833333333
18962	0,5
18963	2,1666666667
18964	20,75
18965	1,5
18966	2,3333333333
18967	0
18968	46,9166666667
18969	5
18970	45,1666666667
18971	44,5
18972	7,5833333333
18973	0
18974	0
18975	0
18976	0
18977	0
18978	0,3333333333
18979	0
18980	0
18981	0
18982	3,75
18983	0
18984	0
18985	0
18986	25,9166666667
18987	102,4166666667
18988	25,5833333333
